stop_code,stop_name,address,routes,url
Q12 050,"Trạm xe buýt [Q12 050] Chợ Thạnh Xuân, Quận 12","59/2 (Chợ Thạnh Xuân) Hà Huy Giáp, Quận 12, Tp.Hồ Chí Minh","03, 58",https://xebuyt.net/3263-cho-thanh-xuan
Q9 029,"Trạm xe buýt [Q9 029] Chùa Thiện Minh, Quận 9","505 Đỗ Xuân Hợp, Quận 9, Tp.Hồ Chí Minh",29,https://xebuyt.net/3265-chua-thien-minh
Q9 038,"Trạm xe buýt [Q9 038] Đường 359, Quận 9","54 Dương Đình Hội, Quận 9, Tp.Hồ Chí Minh",57,https://xebuyt.net/3266-duong-359
Q9 037,"Trạm xe buýt [Q9 037] Trường THPT Phước Long, Quận 9","6 Dương Đình Hội, Quận 9, Tp.Hồ Chí Minh",57,https://xebuyt.net/3267-truong-thpt-phuoc-long
Q9 040,"Trạm xe buýt [Q9 040] Đường 109, Quận 9","156 Dương Đình Hội, Quận 9, Tp.Hồ Chí Minh",57,https://xebuyt.net/3268-duong-109
Q9 039,"Trạm xe buýt [Q9 039] Chung cư Khang Điền, Quận 9","80 Dương Đình Hội, Quận 9, Tp.Hồ Chí Minh",57,https://xebuyt.net/3269-chung-cu-khang-dien
QTD 107,"Trạm xe buýt [QTD 107] Chợ Linh Xuân, Quận Thủ Đức","Đối diện Chợ Linh Xuân Quốc lộ 1K, Quận Thủ Đức, Tp.Hồ Chí Minh","05, 61",https://xebuyt.net/327-cho-linh-xuan
Q9 042,"Trạm xe buýt [Q9 042] Trường THCS Tăng Nhơn Phú B, Quận 9","Trường THCS Tăng Nhơn Phú B Dương Đình Hội, Quận 9, Tp.Hồ Chí Minh",57,https://xebuyt.net/3270-truong-thcs-tang-nhon-phu-b
Q9 041,"Trạm xe buýt [Q9 041] Ngã 3 Bằng Lăng, Quận 9","214 Dương Đình Hội, Quận 9, Tp.Hồ Chí Minh",57,https://xebuyt.net/3271-nga-3-bang-lang
Q9 044,"Trạm xe buýt [Q9 044] UBND phường Tăng Nhơn Phú B, Quận 9","Trung tâm y tế dự phòng Quận 9 Đình Phong Phú, Quận 9, Tp.Hồ Chí Minh","57, 99",https://xebuyt.net/3272-ubnd-phuong-tang-nhon-phu-b
Q9 043,"Trạm xe buýt [Q9 043] Đình Phong Phú, Quận 9","249 Dương Đình Hội, Quận 9, Tp.Hồ Chí Minh",57,https://xebuyt.net/3273-dinh-phong-phu
Q9 046,"Trạm xe buýt [Q9 046] Cổng Đình, Quận 9","7 Đình Phong Phú, Quận 9, Tp.Hồ Chí Minh","57, 99",https://xebuyt.net/3274-cong-dinh
Q9 045,"Trạm xe buýt [Q9 045] Trung tâm GDTX Quận 9, Quận 9","83 Đình Phong Phú, Quận 9, Tp.Hồ Chí Minh","57, 99",https://xebuyt.net/3275-trung-tam-gdtx-quan-9
QTD 231,"Trạm xe buýt [QTD 231] Kha Vạn Cân, Quận Thủ Đức","30 Hiệp Bình, Quận Thủ Đức, Tp.Hồ Chí Minh",57,https://xebuyt.net/3276-kha-van-can
QTD 145,"Trạm xe buýt [QTD 145] Chợ Thủ Đức, Quận Thủ Đức","20-21 Lê Văn Ninh, Quận Thủ Đức, Tp.Hồ Chí Minh","08, 57, 93",https://xebuyt.net/3277-cho-thu-duc
QTD 232,"Trạm xe buýt [QTD 232] Rạch Đỉa, Quận Thủ Đức","204 Hiệp Bình, Quận Thủ Đức, Tp.Hồ Chí Minh",57,https://xebuyt.net/3278-rach-dia
QTD 235,"Trạm xe buýt [QTD 235] Hẻm 64, Quận Thủ Đức","60-62 Đường số 16, Quận Thủ Đức, Tp.Hồ Chí Minh",57,https://xebuyt.net/3279-hem-64
QTD 167,"Trạm xe buýt [QTD 167] Linh Xuân, Quận Thủ Đức","54/8 Quốc lộ 1, Quận Thủ Đức, Tp.Hồ Chí Minh","05, 19, 33",https://xebuyt.net/328-linh-xuan
HBC 105,"Trạm xe buýt [HBC 105] Đình Thần, Huyện Bình Chánh","B10/9N Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3280-dinh-than
HBC 104,"Trạm xe buýt [HBC 104] Chợ Vĩnh Lộc B, Huyện Bình Chánh","B11b/13A Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3281-cho-vinh-loc-b
HBC 107,"Trạm xe buýt [HBC 107] Chợ Ấp 1, Huyện Bình Chánh","A19/17G Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3282-cho-ap-1
HBC 106,"Trạm xe buýt [HBC 106] Hai Sang, Huyện Bình Chánh","B7/21C Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3283-hai-sang
HBC 109,"Trạm xe buýt [HBC 109] Doanh trại Quân Đội, Huyện Bình Chánh","A7/11A Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3284-doanh-trai-quan-doi
HBC 108,"Trạm xe buýt [HBC 108] Trạm xăng Hồng Lý, Huyện Bình Chánh","A7/7 Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3285-tram-xang-hong-ly
QBT 193,"Trạm xe buýt [QBT 193] Dapha, Quận Bình Tân","17 Võ Văn Vân, Quận Bình Tân, Tp.Hồ Chí Minh",60,https://xebuyt.net/3286-dapha
HBC 110,"Trạm xe buýt [HBC 110] Ngã 3 Dapha, Huyện Bình Chánh","17 Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3287-nga-3-dapha
HBC 281,"Trạm xe buýt [HBC 281] Coop mart Vĩnh Lộc B, Huyện Bình Chánh","1A24/2 Trần Văn Giàu, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 62, 73, 81",https://xebuyt.net/3288-coop-mart-vinh-loc-b
HBC 280,"Trạm xe buýt [HBC 280] Võ Văn Vân, Huyện Bình Chánh","1A7 Trần Văn Giàu, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 62, 73, 81",https://xebuyt.net/3289-vo-van-van
QTD 108,"Trạm xe buýt [QTD 108] Thánh thất Cao Đài Linh Xuân, Quận Thủ Đức","160 Quốc lộ 1K, Quận Thủ Đức, Tp.Hồ Chí Minh","05, 61",https://xebuyt.net/329-thanh-that-cao-dai-linh-xuan
HBC 124,"Trạm xe buýt [HBC 124] Cổng 2, Huyện Bình Chánh","Đối diện G12/31 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3291-cong-2
HBC 122,"Trạm xe buýt [HBC 122] Ngã tư Bà Lát, Huyện Bình Chánh","Đối diện G11/10 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3292-nga-tu-ba-lat
HBC 123,"Trạm xe buýt [HBC 123] Cổng 1, Huyện Bình Chánh","Đối diện G12/7 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3293-cong-1
HBC 125,"Trạm xe buýt [HBC 125] Cổng 3, Huyện Bình Chánh","Đối diện D17/38 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3294-cong-3
HBC 127,"Trạm xe buýt [HBC 127] Công ty Đại Vĩnh Lợi, Huyện Bình Chánh","Đối diện G14/40 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3295-cong-ty-dai-vinh-loi
HBC 126,"Trạm xe buýt [HBC 126] Cổng 4, Huyện Bình Chánh","Đối diện G14/18 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3296-cong-4
HBC 128,"Trạm xe buýt [HBC 128] Trường mầm non Thiên Ân, Huyện Bình Chánh","Đối diện G15/37 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3297-truong-mam-non-thien-an
Q8 065,"Trạm xe buýt [Q8 065] UBND Quận 8, Quận 8","UBND Quận 8 Đường 1011, Quận 8, Tp.Hồ Chí Minh",59,https://xebuyt.net/3298-ubnd-quan-8
BX 06,"Trạm xe buýt [BX 06] Công Trường Mê Linh, Quận 1","Công trường Mê Linh Thi Sách, Quận 1, Tp.Hồ Chí Minh","01, 02",https://xebuyt.net/33-cong-truong-me-linh
QTD 106,"Trạm xe buýt [QTD 106] Cầu vượt Linh Xuân, Quận Thủ Đức","4 Quốc lộ 1K, Quận Thủ Đức, Tp.Hồ Chí Minh","05, 61",https://xebuyt.net/330-cau-vuot-linh-xuan
Q10 063,"Trạm xe buýt [Q10 063] Nhà thờ Đồng Tiến, Quận 10","52 Thành Thái, Quận 10, Tp.Hồ Chí Minh","59, 69, 119",https://xebuyt.net/3301-nha-tho-dong-tien
Q10 064,"Trạm xe buýt [Q10 064] BV 115, Quận 10","520A Thành Thái, Quận 10, Tp.Hồ Chí Minh","59, 69, 119",https://xebuyt.net/3302-bv-115
Q10 065,"Trạm xe buýt [Q10 065] Quán Hoàng Ty, Quận 10","166 (182) Thành Thái, Quận 10, Tp.Hồ Chí Minh","59, 69, 119",https://xebuyt.net/3303-quan-hoang-ty
HBC 129,"Trạm xe buýt [HBC 129] Trường mầm non Thiên Ân, Huyện Bình Chánh","G15/25 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3304-truong-mam-non-thien-an
HBC 131,"Trạm xe buýt [HBC 131] Cổng 4, Huyện Bình Chánh","G14/11 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3305-cong-4
HBC 130,"Trạm xe buýt [HBC 130] Công ty Đại Vĩnh Lợi, Huyện Bình Chánh","G15/2A Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3306-cong-ty-dai-vinh-loi
HBC 133,"Trạm xe buýt [HBC 133] Cổng 2, Huyện Bình Chánh","G12/28B Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3307-cong-2
HBC 132,"Trạm xe buýt [HBC 132] Cổng 3, Huyện Bình Chánh","G13/27B Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3308-cong-3
HBC 134,"Trạm xe buýt [HBC 134] Cổng 1 - Ngã tư Bà Lát, Huyện Bình Chánh","G12/8 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3309-cong-1-nga-tu-ba-lat
QTD 110,"Trạm xe buýt [QTD 110] Chùa Từ Quang, Quận Thủ Đức","Chùa Từ Quang Quốc lộ 1K, Quận Thủ Đức, Tp.Hồ Chí Minh","05, 61",https://xebuyt.net/331-chua-tu-quang
HBC 135,"Trạm xe buýt [HBC 135] Cầu Sập, Huyện Bình Chánh","G111/11 Láng Le bàu Cò, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 73",https://xebuyt.net/3310-cau-sap
HBC 304,"Trạm xe buýt [HBC 304] Võ Văn Vân, Huyện Bình Chánh","G22/33A Trần Văn Giàu, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 62, 73, 81",https://xebuyt.net/3312-vo-van-van
HBC 303,"Trạm xe buýt [HBC 303] Coop Mart Vĩnh Lộc B, Huyện Bình Chánh","G3/7 Trần Văn Giàu, Huyện Bình Chánh, Tp.Hồ Chí Minh","60, 62, 73, 81",https://xebuyt.net/3313-coop-mart-vinh-loc-b
HBC 111,"Trạm xe buýt [HBC 111] Ngã 3 Dapha, Huyện Bình Chánh","24 Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3314-nga-3-dapha
QBT 192,"Trạm xe buýt [QBT 192] Dapha, Quận Bình Tân","24/2 Võ Văn Vân, Quận Bình Tân, Tp.Hồ Chí Minh",60,https://xebuyt.net/3315-dapha
HBC 113,"Trạm xe buýt [HBC 113] Trạm xăng Hồng Lý, Huyện Bình Chánh","A7/8A Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3316-tram-xang-hong-ly
HBC 114,"Trạm xe buýt [HBC 114] Chợ Ấp 1, Huyện Bình Chánh","A8/24A Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3317-cho-ap-1
HBC 112,"Trạm xe buýt [HBC 112] Doanh trại Quân Đội, Huyện Bình Chánh","A7/3A Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3318-doanh-trai-quan-doi
HBC 115,"Trạm xe buýt [HBC 115] Hai Sang, Huyện Bình Chánh","A9/7C Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3319-hai-sang
QTD 109,"Trạm xe buýt [QTD 109] Đường số 8, Quận Thủ Đức","202-204 Quốc lộ 1K, Quận Thủ Đức, Tp.Hồ Chí Minh","05, 61",https://xebuyt.net/332-duong-so-8
HBC 117,"Trạm xe buýt [HBC 117] Chợ Vĩnh Lộc B, Huyện Bình Chánh","Đối diện C9/23 Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3320-cho-vinh-loc-b
QBT 177,"Trạm xe buýt [QBT 177] Cầu bộ hành, Quận Bình Tân","16 Trần Đại Nghĩa, Quận Bình Tân, Tp.Hồ Chí Minh",61,https://xebuyt.net/3321-cau-bo-hanh
HBC 116,"Trạm xe buýt [HBC 116] Đình Thần, Huyện Bình Chánh","B5/32 Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3322-dinh-than
HBC 118,"Trạm xe buýt [HBC 118] Liên Ấp, Huyện Bình Chánh","C2/14B Võ Văn Vân, Huyện Bình Chánh, Tp.Hồ Chí Minh",60,https://xebuyt.net/3323-lien-ap
